# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Feb 21 20:01:49 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) exponential 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.000156 -1.99852 10.11394 0.0935845375 1.1198173761    0.093 -3.048  3.5136  5.463    1  0.000  0.545     0.00     0.00 -1 -6.83e-17      0.00 7.471e-01 2.528e-01 2.951e-05 7.963e-06 7.222e-05 -1.000 1.642e-04 12.391 17.310 15.022 13.209 12.120 11.735 11.632
0.000156 -1.99852 10.11394 0.0974408165 1.1524584293    0.097 -2.929  3.5302  5.428    1  0.000  0.545     0.00     0.00 -1 -9.18e-17      0.00 7.460e-01 2.538e-01 2.951e-05 7.963e-06 7.222e-05 -1.000 1.642e-04 12.092 16.820 14.467 12.740 11.831 11.480 11.376
0.000156 -1.99852 10.11394 0.1035205275 1.2014861107    0.103 -2.750  3.5551  5.374    1  0.000  0.545     0.00     0.00 -1 -1.43e-16      0.00 7.444e-01 2.554e-01 2.951e-05 7.963e-06 7.223e-05 -1.000 1.641e-04 11.645 15.911 13.646 12.074 11.392 11.087 10.988
0.000156 -1.99852 10.11394 0.1233925074 1.3427480459    0.123 -2.474  3.5829  5.286    1  0.000  0.545     0.00     0.00 -1 -2.74e-16      0.00 7.409e-01 2.589e-01 2.951e-05 7.964e-06 7.223e-05 -1.000 1.642e-04 10.955 14.598 12.577 11.216 10.704 10.444 10.353
0.000156 -1.99852 10.11394 0.1432645023 1.4607843161    0.143 -2.296  3.5964  5.227    1  0.000  0.545     0.00     0.00 -1 -3.28e-16      0.00 7.387e-01 2.611e-01 2.951e-05 7.964e-06 7.223e-05 -1.000 1.641e-04 10.511 13.853 11.969 10.721 10.259 10.018 9.934
0.000156 -1.99852 10.11394 0.1631364673 1.5607547760    0.163 -2.158  3.6052  5.180    1  0.000  0.545     0.00     0.00 -1 -5.57e-16      0.00 7.375e-01 2.623e-01 2.951e-05 7.964e-06 7.223e-05 -1.000 1.641e-04 10.164 13.326 11.525 10.345 9.910 9.682 9.603
0.000156 -1.99852 10.11394 0.2028804570 1.7205553055    0.203 -1.944  3.6168  5.107    1  0.000  0.545     0.00     0.00 -1 -8.88e-16      0.00 7.370e-01 2.629e-01 2.951e-05 7.964e-06 7.223e-05 -1.000 1.642e-04 9.629 12.562 10.867 9.774 9.371 9.160 9.087
0.000156 -1.99852 10.11394 0.2525603771 1.8685793877    0.252 -1.748  3.6275  5.050    1  0.000  0.545     0.00     0.00 -1 -1.07e-15      0.00 7.373e-01 2.626e-01 2.951e-05 7.964e-06 7.223e-05 -1.000 1.642e-04 9.140 11.877 10.271 9.253 8.877 8.683 8.615
0.000156 -1.99852 10.11394 0.3022403717 1.9790933132    0.302 -1.597  3.6364  5.013    1  0.000  0.545     0.00     0.00 -1 -1.68e-15      0.00 7.373e-01 2.626e-01 2.950e-05 7.965e-06 7.223e-05 -1.000 1.642e-04 8.763 11.347 9.812 8.851 8.497 8.315 8.253
0.000156 -1.99852 10.11394 0.3519202769 2.0646231174    0.352 -1.472  3.6446  4.987    1  0.000  0.544     0.00     0.00 -1 -2.27e-15      0.00 7.374e-01 2.625e-01 2.948e-05 7.966e-06 7.223e-05 -1.000 1.642e-04 8.450 10.900 9.427 8.516 8.181 8.011 7.953
0.000156 -1.99852 10.11394 0.4016002417 2.1325809956    0.401 -1.345  3.6535  4.953    1  0.000  0.545     0.00     0.00 -1 -2.99e-15      0.00 7.501e-01 2.497e-01 2.951e-05 7.963e-06 7.222e-05 -1.000 1.641e-04 8.134 10.440 9.037 8.177 7.862 7.705 7.651
0.000156 -1.99852 10.11394 0.4512802362 2.1877760887    0.451 -1.191  3.6684  4.909    1  0.000  0.545     0.00     0.00 -1 -4.24e-15      0.00 7.507e-01 2.491e-01 2.951e-05 7.963e-06 7.222e-05 -1.000 1.642e-04 7.747 9.818 8.537 7.758 7.475 7.338 7.292
0.000156 -1.99852 10.11394 0.5009601116 2.2334287167    0.501 -1.017  3.6858  4.850    1  0.000  0.545     0.00     0.00 -1 -6.41e-15      0.00 7.514e-01 2.484e-01 2.947e-05 7.950e-06 7.211e-05 -1.000 1.642e-04 7.314 9.126 7.989 7.295 7.047 6.932 6.896
0.000156 -1.99852 10.11394 0.5506401658 2.2717537880    0.550 -0.808  3.7064  4.764    1  0.000  0.544     0.00     0.00 -1 -1.09e-14      0.00 7.877e-01 2.122e-01 2.542e-05 6.864e-06 6.229e-05 -1.000 9.903e-05 6.790 8.322 7.352 6.749 6.539 6.449 6.424
0.000156 -1.99852 10.11394 0.6003201008 2.3043019772    0.600 -0.594  3.7324  4.691    1  0.000  0.544     0.00     0.00 -1 -1.86e-14      0.00 8.013e-01 1.986e-01 2.397e-05 6.478e-06 5.881e-05 -1.000 1.403e-04 6.254 7.493 6.702 6.203 6.038 5.978 5.965
0.000156 -1.99852 10.11394 0.6044924259 2.3068149090    0.604 -0.575  3.7350  4.686    1  0.000  0.543     0.00     0.00 -1 -1.95e-14      0.00 8.027e-01 1.972e-01 2.383e-05 6.439e-06 5.846e-05 -1.000 1.617e-04 6.206 7.422 6.645 6.156 5.995 5.937 5.925
0.000156 -1.99852 10.11394 0.6141805053 2.3125305176    0.614 -0.530  3.7409  4.671    1  0.000  0.543     0.00     0.00 -1 -2.18e-14      0.00 8.060e-01 1.938e-01 2.347e-05 6.344e-06 5.761e-05 -1.000 1.530e-04 6.095 7.255 6.512 6.045 5.893 5.842 5.833
0.000156 -1.99852 10.11394 0.6235839128 2.3179249763    0.623 -0.486  3.7465  4.657    1  0.000  0.543     0.00     0.00 -1 -2.18e-17      0.00 8.095e-01 1.904e-01 2.312e-05 6.249e-06 5.676e-05 -1.000 1.412e-04 5.985 7.097 6.384 5.938 5.796 5.751 5.744
0.000156 -1.99852 10.11394 0.6346601844 2.3240928650    0.634 -0.434  3.7531  4.639    1  0.000  0.543     0.00     0.00 -1  -3.7e-19      0.00 8.137e-01 1.862e-01 2.267e-05 6.131e-06 5.570e-05 -1.000 1.149e-04 5.855 6.912 6.233 5.812 5.681 5.643 5.639
0.000156 -1.99852 10.11394 0.6444784999 2.3293943405    0.644 -0.387  3.7588  4.621    1  0.000  0.542     0.00     0.00 -1 -5.65e-16      0.00 8.177e-01 1.822e-01 2.226e-05 6.020e-06 5.471e-05 -1.000 1.133e-04 5.738 6.749 6.099 5.699 5.578 5.546 5.544
0.000156 -1.99852 10.11394 0.6499999762 2.3323092461    0.650 -0.360  3.7619  4.611    1  0.000  0.542     0.00     0.00 -1 -3.36e-14      0.00 8.200e-01 1.799e-01 2.202e-05 5.956e-06 5.413e-05 -1.000 1.519e-04 5.671 6.659 6.023 5.636 5.519 5.490 5.490
0.000156 -1.99852 10.11394 0.6540139318 2.3343989849    0.654 -0.341  3.7642  4.603    1  0.000  0.542     0.00     0.00 -1 -3.53e-14      0.00 8.221e-01 1.778e-01 2.180e-05 5.898e-06 5.361e-05 -1.000 1.453e-04 5.622 6.596 5.969 5.589 5.476 5.449 5.450
0.000156 -1.99852 10.11394 0.6635050178 2.3392453194    0.663 -0.293  3.7694  4.582    1  0.000  0.542     0.00     0.00 -1 -2.32e-14      0.00 8.273e-01 1.726e-01 2.126e-05 5.755e-06 5.232e-05 -1.000 1.215e-04 5.503 6.442 5.837 5.476 5.371 5.350 5.352
0.000156 -1.99852 10.11394 0.6725659370 2.3437514305    0.672 -0.247  3.7743  4.561    1  0.000  0.541     0.00     0.00 -1 -2.69e-15      0.00 8.325e-01 1.674e-01 2.072e-05 5.609e-06 5.102e-05 -1.000 1.269e-04 5.387 6.297 5.709 5.366 5.268 5.251 5.255
0.000156 -1.99852 10.11394 0.6806070805 2.3476552963    0.680 -0.204  3.7786  4.541    1  0.000  0.541     0.00     0.00 -1 -2.34e-19      0.00 8.374e-01 1.624e-01 2.020e-05 5.473e-06 4.979e-05 -1.000 1.179e-04 5.280 6.164 5.593 5.264 5.173 5.160 5.166
0.000156 -1.99852 10.11394 0.6883981824 2.3513553143    0.688 -0.161  3.7827  4.519    1  0.000  0.540     0.00     0.00 -1 -1.01e-17      0.00 8.424e-01 1.574e-01 1.968e-05 5.333e-06 4.854e-05 -1.000 1.277e-04 5.172 6.035 5.476 5.162 5.078 5.069 5.076
